Δαρείου	OF DARIUS
χώρας,	'of (the)
ἧς	'country,
ἄρχοι,	which he-governed,
καὶ	but-also
ποιούντα	making
προσόδους	(an) increased-produce (therefrom)
ἂν	'he would
πώποτε	never
ἀφείλετο	'take-away
οὐδένα	any-thing (from such a person),
ἀλλ᾽	but
ἀεὶ	always
προσεδίδου	(rather) he-added
πλείω·	more;
ὥστε	so-that
καὶ	(men)
ἐπόνουν	laboured
ἡδέως,	cheerfully,
καὶ	and
ἐκτῶντο	acquired
θαῤῥαλέως,	(property) confidently,
καὶ	and
αὖ	moreover
τις	what
ἐπέπατο	any-one had-acquired
ἥκιστα	the-least
ἔκρυπτε	did-he-conceal (it)
Κῦρον·	from-Cyrus;
γὰρ	| for
ἐφαίνετο	he-was-manifestly
οὐ	not
φθονῶν	envying [for he manifestly did not envy]
τοῖς	(those who)
φανερῶς	openly
πλουτοῦσιν,	acquire-riches,
ἀλλὰ	but
πειρώμενος	was-enueavouring
χρῆσθαι	to-uso (or put into circulation)
τοῖς	the
χρήμασι	wealth
ποιήσαιτο,	ne-might-make,
καὶ	and
γνοίη	knew (them as)
ὄντας	being
εὔνους,	well-disposed (to himself),
καὶ	and
κρίνειε	might-judge (them)
εἶναι	to-be
ἱκανοὺς	fit
συνεργούς,	co-operators,
ὅ	in
τι	whatever
βουλόμενος	wishing
τυγχάνοι	he-might-happen
κατεργάζεσθαι,	to-accomplish, [in whatever he might happen to wish to accomplish],
ὁμολογεῖται	he-is-acknowledged
πρὸς	by
πάντων	all
γενέσθαι	to-have-been
δὴ	certainly
κράτιστος	the-best
θεραπεύειν.	(and most skilful) to-cherish u friends, and attach them to himself).
Γὰρ	For
καὶ	also
αυτ	(for)
τοῦτο	this
ἕνεκα	same (reason)
ούπερ	on-account
αὐτὸς	of-which he-himself
ᾤμετο	thought
δεῖσθαι	(that) he-needed
φίλων	friends
ὡς	(namely) that
ἔχοι	he-might-have
συνεργούς,	co-operators,
καὶ	and
αὐτὸς	he-himself
ἐπειρᾶτο	endeavoured
εἶναι	to-be
κράτιστος	the-best
συνεργός	'to (his)
τοῖς	'friends
φίλοις	(in)
ὅτου	whatever
τούτου	that
αἰσθάνοιτα	he-might-perceive
ἕκαστον	each-one
ἐπιθυμοῦντα.	(was) desiring (to effect).
Δὲ	And
μὲn	indeed
οἶμαι	I-think
γε	| (that) 'he
ὢν	at-least
εἰς	being
ἀνὴρ	one man [that he of any one man at least]
ἐλάμβανε	'received
πλεῖστα	the-most
δῶρα	presents,
διὰ	(and this) for
πολλά·	many (reasons);
δὲ	but
ταῦτα	these (presents)
διεδίδου	he-distributed
τοῖς	'to (his)
φίλοις	'friends
μάλιστα	very-much
δή	(excelling) certainly
πάντων,	(in this respect) all (men),
σκοπῶν	looking
πρὸς	to
τοὺς	the
τρόπους	manners
ἑκάστου,	of-each,
καὶ	and
ὅτου	(to that) of
ὁρῴη	which he-saw
ἕκαστον	each-one
μάλιστα	the-most
δεόμενον	needed
Καὶ	And
ὅσα	whatever (present)
τις	any-one
πέμποι	might-send (him as a)
κόσμον	ornament
τῷ	for
σώματι	the
αὐτοῦ,	body of-him, [for his person],
ἢ	either
ὡς	as-if
εἰς	for (use in
πόλεμον,	war,
ἢ	or
ὡς	as-if
εἰς	for (use in personal)
καλλωπισμόν,	ornament,
καὶ	and
περί	about
τούτων	these (presents)
ἔφασαν	they-affirmed
λέγειν,	(that) he-said,
ὅτι	| that
μὲν	indeed
τὸ	the
σῶμα	body
ἑαυτοῦ	of-himself
ἂν	could
οὐ	not
δύναιτο	be-able
κοσμηθῆναι	to-have-been-adorned [that his own person could not be adorned]
πᾶσι	with-all
τούτοις,	these (presents),
δὲ	but
νομίζοι	he-might-think
φίλους	(that) friends
καλῶς	(having-'been) handsomely
κεκοσμημένους	'adorned
μέγιστον	(to be) the-greatest
κόσμον	ornament
ἀνδρὶ.	'to (a) 'man.
Καὶ	| And
μὲn	indeed
τὸ	the
νικᾶν	to-surpass [the surpassing)
τὰ	the
μεγάλα	great [greatly] [and indeed that he should greatly surpass]
τοὺς	(his)
φίλους	friends
ποιοῦντα	(in) doing
εὖ	good (is)
οὐδὲν	nothing
θαυμαστόν,	wonderful,
ἐπειδή	since
γε	at-least
ἦν	he-was
καὶ	also
δυνατώτερος·	the-most-able;
δὲ	but
τὸ	the
περιεῖναι	to-be-superior [but that he should excel]
τῶν	- (his)
φίλων	friends
τῇ	in-kind-attention,
ἐπιμελείᾳ,	and
καὶ	the
τῷ	to-be-eager
προθυμεῖσθαι	[his eagerness]
χαρίζεσθαι,	to-gratify (and oblige),
ταῦτα	these,
ἔμοιγε	to-me-at-least,
δοκεῖ	seem
εἶναι	to-be
μᾶλλον	more
ἀγαστὰ.	admirable.
Γὰρ	For
Κῦρος	Cyrus
πολλάκις	often
ἔπεμπε	sent
ἡμιδεεῖς	half-empty
βίκους	jars
οἴνου,	of-wine,
ὁπότε	whenever
λάβοι	he-might-receive
πάνυ	(ary) very
ἡδὺν,	sweet (and fine-flavoured),
λέγων,	saying,
ὅτι	that
οὔπω	never-yet
δὴ	truly
πολλοῦ	'for (a)
χρόνου	'long time
ἐπιτύχοι	aid-he meet
ἡδίονι	with-finer-flavoured
οἴνῳ	wine
τούτου·	(than) this
οὖν	therefore
ἔπεμψε	he-sent
τοῦτον	this
σοὶ,	to-you,
καὶ	and
δεῖταί	he-requests
σου	of-you
εκπιεῖν	to-drink
τοῦτον	this
τήμερον	to-day
σὺν	with
οἷς	those-whom
φιλεῖς	you-love
μάλιστα.	most.
Πολλάκις	Often
δὲ	indeed
ἤπεμπε	he-sent.
ἡμιβρώτους	| half-eaten
χῆνας,	geese [parts of geese],
καὶ	and
ἡμίσεα	halves
ἄρτων,	of-loaves,
καὶ	and
ἄλλα	other
τοιαῦτα,	such (things),
κελεύων	ordering
τὸν	the
φέροντα	bearer
ἐπιλέγειν·	to-say (when he presented them);
Κῦρος	Cyrus
ἥσθη	was-delighted
τούτοις.	with-these;
οὖν	therefore
βούλεται	he-wishes
καὶ	also
σὲ	you
γεύσασθαι	to-taste
τούτων.	of-these (same).
Ὅπου	Whenever
δὲ	indeed
χιλὸς	fodder
εἶη	was
πάνυ	very
σπάνιος,	scarce,
δ᾽	and
αὐτὸς	he
ἐδύνατο	was-able
παρασκευάσασθαι	to-procure-it
διὰ	| through
τὸ	the
ἔχειν	to-have
πολλοὺς	[by having] many
ὑπηρέτας	servants
καὶ	and
διὰ	through
τὴν	- (his)
ἐτιμέλειαν,	care,
διαπέμπων	sending-it-about
τοῖς	(among) (his)
φίλοις	friends
ἐκέλευε	he-ordered (them)
ἐμβάλλειν	to-throw
τοῦτον	this
τὸν	fodder
χιλόν	to-the
τοῖς	horses
ἵπποις	| carrying
ἄγουσ	the
τὰ	bodies
σώματα	of-them
ἑαυτῶν	[carrying their persons],
ὡς	so-that
μὴ	(the horses) 'may not
ἄγωσι	'carry
τοὺς	the
φίλους	friends
ἑαυτοῦ	of-himself
πεινῶντες.	hungering.
Εἰ	If
δὲ	indeed
δή	at-any-time
ποτε	he-might-procced
πορεύοιτο,	(anywhere),
καὶ	and
πλεῖστοι	many
μέλλοιεν	might-be-about
ὄψεσθαι,	to-see (him),
προσκαλῶν	calling-to
τοὺς	(his)
φίλους	friends
ἐσπουδαιολογεῖτο,	he-held-earnest-conversation-with-them,
ὡς	that
δηλοίη	he-might-show
ους	(those) whom
τιμᾷ.	he-honoured.
Ὥστε	So-that
ἔγωγε	I-at-least
ἐξ	from
ὧν	(that) which
ἀκούω	I-hear
κρίνω	judge (that)
οὐδένα	no-one
οὔτε	either
Ἑλλήνων	of the) 'Greeks
οὔτε	or
βαρβάρωι	of the 'barbarians
πεφιλῆσθαι	to-have-been-loved
ὑπὸ	by
πλειόνων.	more (persons).
Δὲ	And
καὶ	also
τόδε	this
τεκμήριον	(is a) proof
τούτου,	of-this-same (thing),
οὐδεὶs	no-one
μὲn	indeed
ἀπῄει	deserted
πρὸς	to
βασιλέα	(the) king
παρὰ	from
Κύρου,	Cyrus,
ὄντος	he-being
δούλου·	(as a subject no better than a) slave (of the king);
πλὴν	except
Ὀρόντας	Orontes
ἐπεχείρησε·	(who) attempted (it);
καὶ	and
δὴ	truly
οὗτος	this (Orontes)
ταχὺ	speedily
εὗρε	found
αὐτὸν	him,
ὃν	whom
ᾤετο	he-thought
εἶναι	to-be
πιστόν	faithful
οἱ	to-himself,
φιλαίτερον	more-friendly
Κύρῳ	to-Cyrus
ἢ	than
ἑαυτῷ·	to-himself;
δὲ	but
πολλοὶ	many
ἀπῆλθον	deserted
παρὰ	from
βασιλέως	(the) king
πρὸς	to
Κῦρον,	Cyrus,
ἐπειδὴ	after
ἐγένοντο	they-became
πολέμιοι	hostile
ἀλλήλοις,	to-one-another,
καὶ	and
οὗτοι	these
μέντοι	indeed
οἱ	(persons)
μάλιστα	the-most
ἀγαπώμενοι	beloved
ὑπ'	by
αὐτοῦ,	him (the king),
νομίζοντες	thinking
ὄντες	(that) being
ἀγαθοὶ	brave (men)
παρὰ	under
Κύρῳ,	Cyrus,
ἂν	to-obtain
τυγχάνειν	more-worthy
ἀξιωτέρας	honour
τιμῆς	(and reward)
ἢ	than
παρὰ	from
βασιλεί.	(the) king.
Δὲ	And
καὶ	also
τὸ	(that)
γενόμενον	happening
αὐτῷ	to-him
ἐν	at
τῇ	the
τελευτῇ	end
τοῦ	'of (his)
βίου	'life
μέγα	(is a) great
τεκμήριον,	proof,
ὅτι	that
καὶ	he
αὐτὸς	was
ἦν	brave,
ἀγαθὸς,	and
καὶ	could
ἑδύνατο	rightly
ὀρθῶς	judge
κρίνειν	(those)
τοὺς	faithful
πιστοὺς	(to him),
καὶ	and
εὔνους	well-disposed,
καὶ	and
βεβαίους.	steadfast.
Γὰρ	For
αὐτοῦ	be
ἀποθνήσκοντος,	dying,
πάντες	all
οἱ	-
φίλοι	(his) friends
καὶ	and
συντράπεζοι	table-companions
παρ'	with
αὐτὸν	him
ἀπέθανον	died
μαχόμενοι	fighting
ὑπὲρ	over
Κύρου,	Cyrus.
πλὴν	except
᾿Αριαίου·	Áriœus;
οὗτος	this (person
δε	indeed
τεταγμένος	| stationed
ἐτύγχανεν	happened [happened to be stationed]
ἐπὶ	on
τῷ	the
εὐωνύμῳ,	left,
ἄρχων	commanding
τοῦ	the
ἱππικοῦ·	cavalry;
δ᾽	but
ὡς	when
ᾔσθετο	he-learned
Κύρον	(of) Cyrus
πεπτωκότα	having-fallen
ἔφυγεν	he-fled
ἔχων	having
καὶ	also (with him)
τὸ	the
πᾶν	entire
στράτευμα	army
οὗ	which
ἡγεῖτο.	he-commanded.
Ἐνταῦθα	There
δὴ	indeed
ἡ	the
κεφαλὴ	head
Κύρου	of-Cyrus
ἀποτέμνεταὶ	is-cut-off,
καὶ	and-also
ἡ	the
δεξιά	right
χείρ.	hand.
Δὲ	But
βασιλεὺς,	(the) king,
καὶ	and
οἱ	(those)
σὺν	with
αὐτῷ,	him,
διώκων	pursuing
εἰςπίπτει	falls
εἰς	| on
τὸ	the
Κυρεῖον	Cyrean
στρατόπεδον·	camp; [on the camp of Cyrus);
καὶ	and
μὲn	indeed
οἱ	(those soldiers)
μετὰ	with
᾿Αριαίου	Ariæus
οὐκέτι	no-longer
ἵστανται	stand
ἀλλὰ	but
φεύγουσι	flee
διὰ	through
τοῦ	| the
στρατοπέδου	camp
αὑτῶν	of-them [their camp]
εἰς	to
τὸν	the
σταθμὸν,	station,
ἔνθεν	whence
ὥρμηντο·	they-had-started (last);
δ᾽	and
ἐλέγοντο	there-were-said
εἶναι	to-be
τέτταρες	four
παρασάγγαι	parasangs
τῆς	of-the
ὁδοῦ.	road [and which was said to be four parasangs distant].
Δὲ	But
βασιλεὺς	(the) king
καὶ	and
οἱ	(those)
σὺν	with
αὐτῷ	him
τε	not-only
διαρπάζουσι	plunder
τὰ	other
ἄλλα	(things,
πολλὰ,	which were) many,
καὶ	but-also
λαμβάνει	he-takes
τὴν	the
Φωκαΐδα	Phocean (woman),
τὴν	the
παλλακίδα	concubine
Κύρου	of-Cyrus,
καὶ	and
λεγομένην	(who) was-said
εἶναι,	to-be,
σοφὴν	wise
καὶ	and
καλὴν.	beautiful.
Δὲ	But
ἡ	the
νεωτέρα	younger (concubine)
ἡ	the
Μιλησία,	Milesian (woman),
ληφθεῖσα	having-been-taken
ὑπὸ	by
τῶν	(those)
ἀμφὶ	about
βασιλέα	(the) king
ἐκφεύγει	escapes
γυμνή	| naked [in her under garments]
πρὸς	to
τῶν	(those of)
Ἑλλήνων,	the Greeks,
οἱ	who
ἔχοντες	having
ὅπλα	arms
ἔτυχον	happened
ἐν	(to be stationed) among
τοῖς	the
σκευοφόροις·	baggage-train;
καὶ	and
ἀντιταχθέντες	having-been-drawn-up-against (the Persians)
ἀπέκτειναν	they-killed
πολλοὺς	many
μὲν	indeed
τῶν	of (those)
ἁρπαζόντων,	plundering,
δὲ	but
οἱ	-(some)
καὶ	also
αὐτῶν	of-themselves
ἀπέθανον·	died;
γε	at-least
μὴν	indeed
οὐκ	they-'did not
ἔφυγον,	'flee,
ἀλλὰ	but
καὶ	also
ἔσωσαν	saved
ταύτην,	this (woman),
καὶ	and
ἄλλα,	other (things),
ὁπόσα	whatever
ἐγένοντο	were
ἐντὸς	within
αὐτῶν	(the lines) of-them,
καὶ	both
χρήματα	property
καὶ	and
ἄνθρωποι,	men,
πάντα	all
ἔσωσαν.	were-saved.
Ἐνταῦθα	There
τε	not-only
βασιλεὺς	(the) king,
καὶ	but-also
οἱ	the
Ἕλληνες	Greeks
διέσχον	were-distant
ἀλλήλων	from-one-another
ὡς	about
τριάκοντα	thirty
στάδια,	stadia,
οἱ	the
μὲn	(Greeks) indeed
διώκοντες	pursuing
τοὺς	(those opposed)
καθ'	against
αὑτοὺς,	themselves,
ὡς	as
νικῶντες	conquering
πάντας,	all,
δ'	but
οἱ	the (Persians)
ἁρπάζοντες,	plundering,
ὡς	as
ἤδη	now
νικῶντες	conquering
πάντες.	all.
Δ᾽	But
ἐπεὶ	when
μέν	indeed
οἱ	the
Ἕλληνες	Greeks
ᾔσθοντο,	perceived,
ὅτι	that
βασιλεὺς	(the) king
σὺν	with
τῷ	(his)
στρατεύματι	army
εἴη	might-be
ἑν	among
τοῖς	(their)
σκευοφόροις,	baggage-train,
δὲ	and
βασιλεὺς	(the) king
αὖ	on-the-other-hand
ἤκουσε	heard
Τισσαφέρνους,	from-Tissaphernes.
ὅτι	that
οἱ	the
Ἕλληνες	Greeks
νικῷεν	might-be-conquering
τὰ	the (army)
καθ'	opposed
αὑτοὺς,	to-them,
καὶ	and
διώκοντες	pursuing,
οἴχονται	they-advance
εἰς	to
τὸ	(a distance)
πρόσθεν,	forward,
ἐνταῦθα	there
δὴ	truly
βασιλεὺς	(the) king
μὲn	indeed
τε	not-only
ἀθροίζει	| collects
τοὺς	(those)
ἑαυτοῦ,	of-himself, [collects together his forces],
καὶ	but also
συντάττεται·	draws-them-up-in-line;
δὲ	but
ὁ	-
Κλέαρχος	Clearchus
καλέσας	having-called
Πρώξενον,	Proxenus,
γὰρ	for
ἦν	he-was
πλησιαίτατος,	the-nearest,
ἐβουλεύετο,	consuited (with him),
εἰ	if
πέμποιέν	they-should-send
τινας,	some (of the troops),
ที	or
πάντες	all
ἴοιεν	should-go
ἀρήξοντες	| about-helping [to relieve]
ἐπὶ	(to)
τὸ	the
στρατόπεδον.	camp.
Ἐν	During
τούτῳ	this (time)
καὶ	also
βασιλεὺς	(the) king
ἦν	was
πάλιν	again
δῆλος	evidently
προσιών,	approaching,
ὡς	as
ἐδόκει	it-seemed
ὄπισθεν.	from-behind.
Καὶ	And
μὲn	indeed
οἱ	the
Ἕλληνες	Greeks
στραφέντες	having-faced-about
παρεσκευάζοντο	prepared-themselves,
ὡς	as-if
προσιόντος	(the king were-advancing
καὶ	and-also
δεξόμενοι	receiving (him)
ταύτῃ·	in-that (direction);
δὲ	but
ο	the
βασιλεὺς	king
μὲn	indeed
οὐκ	'did not
ἦγε	lead
ταύτη,	(his troops) in-that (direction),
δὲ	but
ᾗ	(by the way)
παρῆλθεν	in-which he-had-passed
ἔξω	beyond
τοῦ	(their)
εὐωνύμου	left
κέρατος,	wing,
ταύτη	by-the-same (way)
καὶ	also
ἀπήγαγεν,	he-led-back (his forces),
ἀναλαβών	taking-with (him)
καὶ	both
τοὺς	(those)
ἐν	in
τῇ	the
μάχῃ	battle,
αὐτομολήσαντας	having-deserted
κατὰ	to
τοὺς	the
Ἕλληνας,	Greeks,
καὶ	and
Τισσαφέρνην,	Tissaphernes,
καὶ	and
τοὺς	(those)
σὺν	with
αὐτῷ.	him.
Γὰρ	For
ὁ	Tissaphernes
Τισσαφέρνης	'did not
οὐκ	'flee
ἔφυγεν	in
ἐν	the
τῇ	first
πρώτη	encounter,
συνόδῳ,	but
ἀλλὰ	charged
διήλασε	in
κατὰ	the
τους	Greek
Ἕλληνας	targetiers
πελταστάς	along
παρὰ	the
τὸν	river.
ποταμὸν·	but
δὲ	charging-through
διελαύνων	(the ranks)
μεν	'he indeed
κατέκαυνε	'killed
οὐδενα,	no-one
δ'	but
οἱ	the
Ἕλληνες	Greeks
διαστάντες	standing-apart (and making a passage)
ἔπαιον	struck (them with their swords)
καὶ	and
ἠκόντιζον	threw
αὐτοὺς·	(their javelins) at-them;
Ἐπισθένης	Episthenes
δὲ	(the)
᾿Αμφιπολίτης	Amphipolite
ἦρχε	commanded
τῶν	the
πελταστῶν,	targetiers,
και	and
ἐλέγετο	was-said
γενέσθαι	to-be
φρόνιμος.	(a) prudent (and able commander).
Δ᾽	But
ὁ	Tissaphernes
Τισσαφέρνης	therefore,
οὖν,	as
ὡς	having
ἔχων	| less
μεῖον,	[the worst],
ἀπηλλάγη,	was-forced-to-depart,
μὲn	indeed
οὐκ	he-'does not
ἀναστρέφει	return
πάλιν,	again,
δὲ	but
ἀφικόμενος	having-arrived
εἰς	at
τὸ	the
στρατόπεδον	camp
τὸ	of-the
τῶν	Greeks,
Ἑλλήνων,	there
ἐκεῖ	he-meets-with
συντυγχάνει	(the)
βασιλεῖ,	king,
καὶ	and
δὴ	(then)
συνταξάμενοι	having-drawn-up-their-forces
ἐπορεύοντο	they-marched
ὁμοῦ	together
πάλιν.	back (again).
ἐπεὶ	But when
ἦσαν	they were
κατὰ	opposite
τὸ	the
εὐώνυμον	left
κέρας	wing
τῶν	of-the
Ἑλλήνων,	Greeks,
οἱ	the
Ἕλληνες	Greeks
ἔδεισαν,	feared,
μὴ	lest
προσάγοιεν	they-might-lead
πρὸς	against
τὸ	(that)
χέρας	wing [lest they would attack that wing]
καὶ	and
περιπτύξαντες	surrounding (them)
ἀμφοτέρωθεν	on-both-sides
κατακόψειαν	they-might-'cut
αὐτοὺς·	them 'off;
καὶ	and
ἐδόκει	it-seemed (best)
αὐτοῖς	to-them
ἀναπτύσσειν	to-fold-back
τὸ	the
κέρας,	wing
καὶ	and
ποιήσασθαι	to-place
τὸν	the
ποταμόν	river
ὄπισθεν.	in-the-rear.
Ἐν	In
ᾧ	(the time) in-which
δὲ	indeed
ταῦτα	(that) they-were-planning
ἐβουλεύοντο,	(this manœuvre)
